interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_traveltime,edge_waitingTime
0.00,500.00,d2,0,3.38,0,5,-102843056#0,3,3,5,0.82,38.37,191.86,3.09,36.58,124.00
0.00,500.00,d2,0,20.71,0,5,-102843056#1,0,0,5,0.20,0.41,2.07,12.56,0.02,0.00
0.00,500.00,d2,0,1.72,0,5,-102843056#2,0,0,5,0.20,0.72,3.62,12.72,0.33,0.00
0.00,500.00,d2,0,1.06,0,7,-102843056#3,0,0,5,0.22,2.95,15.55,11.62,2.55,0.00
0.00,500.00,d2,0,14.04,1,24,-102843057#0,6,6,23,3.38,20.14,481.42,3.65,19.00,244.00
0.00,500.00,d2,0,4.88,0,23,-102843057#1,0,0,23,0.90,1.48,33.98,12.81,1.09,0.00
0.00,500.00,d2,0,4.00,0,23,-102843057#2,3,3,23,0.93,5.96,136.97,12.34,5.57,0.00
0.00,500.00,d2,0,,0,0,-116752452,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-116752455#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-116752455#1,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-119059128#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-119059128#1,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-119059133#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-119059133#1,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-119059133#2,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-119059133#3,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-119061308,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-119794062#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-119794062#1,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-119805882#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-119805882#1,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-119805902,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-119805918#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-119805918#1,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-119872763#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-119872763#1,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-119872784#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-119872784#1,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-119872809,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-122187606#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-122187606#1,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-122187606#2,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-122187606#3,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-122187606#4,0,0,0,,,0.00,,,
0.00,500.00,d2,1,3.63,0,20,-124658692,0,0,19,1.62,4.13,82.61,12.23,3.76,0.00
0.00,500.00,d2,0,3.42,0,19,-124658694,0,0,19,1.43,2.32,44.12,13.28,1.95,0.00
0.00,500.00,d2,0,,0,0,-127965700,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-127984979#0,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-127984979#1,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-127984979#2,0,0,0,,,0.00,,,
0.00,500.00,d2,0,,0,0,-135223759,0,0,0,,,0.00,,,
